,Category,Resume,candidate_num,majors,degrees,skills
0,Java Developer,"Education Details 
August 2010 to May 2017 BE Electronics & Communication Jabalpur, Madhya Pradesh Takshshila institute of technology
Java developer 


Skill Details 
Java, Javascript,- Exprience - 6 monthsCompany Details 
company - Wab It Softwere Pvt.  Ltd.
description - Jr. Java Developer",Applicant 1,[],['BS-LEVEL'],"communications,java"
1,Java Developer,"Technical Skills (Trained / Project Acquired Skills) â¢ Languages Known: C, C++, J2EE, Spring, Hibernate. â¢ Testing: Functional Testing, Manual Testing. â¢ Operating Systems: Windows & Linux. â¢ Packages: MS-office. â¢ Databases: My SQL & PostgreSQL.Education Details 
January 2013 to January 2017 B.E Computer Science and Engineering  RTMNU University - Jhulelal Institute of Technology
January 2011 to January 2013 HSC  Nagpur, Maharashtra Maharashtra State Board - Dayanand Arya Kanya Junior College
January 2010 to January 2011 SSC  Nagpur, Maharashtra Maharashtra State Board
Java Developer 

Java Developer - Inouvelle Ventures Private Limited
Skill Details 
J2EE- Exprience - 17 months
C++- Exprience - 6 months
DATABASES- Exprience - 6 months
FUNCTIONAL TESTING- Exprience - 6 months
LINUX- Exprience - 6 monthsCompany Details 
company - Inouvelle Ventures Private Limited
description - Nagpur.
1.   Project name: Stock Management System		December 2017 - Till Date
Language of implementation: Angular (Frontend), JAVA - J2EE, spring, Hibernate Framework (Backend)
& PostgresSql Database.
Role: Java Developer
Operating system: Windows XP/07/08
Description: Stock management System is Specially Developing for the Medicinal Market. This software is developing to keep the track of medicines, ailments, surgical Equipments, & also to keep the track of Wholesalers, Retailers, Employees, & Customers of the Company. Stock management system is the practice of ordering, storing, tracking, and controlling
inventory. Debtor invoicing software helps small businesses and freelancers keep track of company assets   .. Stock
management may also be called stock control, inventory management or inventory control.
company - Inouvelle Ventures Private Limited
description - Project Profile
company - Inouvelle Ventures Private Limited
description - Language of implementation: Angular (Frontend), JAVA - J2EE, spring, Hibernate Framework (Backend)
& PostgresSql Database.
Role: Java Developer, Manual Testing.
Operating system: Windows XP/07/08
Description: This Project is done for the Oldest Printing Press in Nagpur. The proposed web based Printing Press
Management System designed according to user and system requirement to fulfil the existing problems. This system offers the products and services that enhance organization growth, efficiency, and profitability.",Applicant 2,['computer science'],"['MS-LEVEL', 'BS-LEVEL']","c,cpp,spring,hibernate,testing,functional testing,operating system,windows,linux,mobile station,database,sql,computer science,engineering,java,angular,frontend,backend,software,operations research"
2,Java Developer,"TECHNICAL SKILLS Skills: Java, SQL, PL/SQL, C, C++, BootStrap, JSP, Ext JS Operating Systems: Windows Tools: Toad, Eclipse, SoapBox, Postman Databases: Oracle, MS-SQL, MS-Access, MS-ExcelEducation Details 
January 2017 B.E. Computer Technology Gondia, MAHARASHTRA, IN Manoharbhai Patel Institute of Engineering and Technology
 HSC  Gondia, MAHARASHTRA, IN S.M.P. Science College
Java Developer 

Java Developer - Xoriant Solutions Pvt Ltd
Skill Details 
Company Details 
company - Xoriant Solutions Pvt Ltd
description - Pune
Period                Sept' 2017 to till date
Role                  Java Developer
Description           ResRent is a team responsible for the development of various
modules for Hertz. They are responsible for the development of screens in the portfolios they look after, and act as a
primary control function; developing webservices to ensure it can
be hit by XML and JSON. We build various modules which are
inbuilt in Hertz to provide interfaces for end users in their tasks.
Tools                 Eclipse, TOAD, SoapBox, Postman
Responsibilities      - Develop module from Backend to Middleware to Frontend.
- Bugs fixing and proactive developing of enhancements
- Resolve Application incidents within defined UCs & creating
different Task ticket as well.
- Debug and provide solution for workflow.
- Resolving DB issues and providing technical support to BAs.
- Keeping track of deployments and effect of same on ongoing
jobs
- Contribution towards automation of daily activities and process
based organization
- On-time, within-budget delivery meeting customers' quality
expectations.
- Maintain knowledge base of domain, known defects and issues,
processes and development techniques.
company - Xoriant Solutions Pvt Ltd
description - Strong communication, collaboration & team building skills with proficiency at grasping
new technical concepts quickly and utilize the same in a productive manner.
â Experience in development in Web application.
â Resolve project related issues in minimal time.
â Able to communicate effectively with multifunctional teams, programmers and technical staff at all levels.
â Good knowledge of Java, Sql, Ext JS, JSP, XML, Web services.
â Good interpersonal & analytical skills with proven abilities in resolving the complex
software issue.",Applicant 3,[],"['MS-LEVEL', 'BS-LEVEL']","java,sql,c,cpp,bootstrap,javascript,operating system,windows,eclipse,postman,database,oracle,mobile station,engineering,xml,backend,middleware,frontend,knowledge base,communications,collaboration,web development,web service,software"
3,Java Developer,"TECHNICAL STRENGTHS Computer Language Java/J2EE, Swift, HTML, Shell script, MySQL Databases MySQL Tools SVN, Jenkins, Hudson, Weblogic12c Software Android Studio, Eclipse, Oracle, Xcode Operating Systems Win 10, Mac (High Sierra) Education Details 
June 2016 B.E. Information Technology Goregaon, MAHARASHTRA, IN Vidyalankar Institute of Technology
May 2013   Mumbai, Maharashtra Thakur Polytechnic
May 2010   Mumbai, Maharashtra St. John's Universal School
Java developer 

Java developer - Tech Mahindra
Skill Details 
JAVA- Exprience - 21 months
MYSQL- Exprience - 21 months
DATABASES- Exprience - 17 months
J2EE- Exprience - 17 months
ANDROID- Exprience - 6 monthsCompany Details 
company - Tech Mahindra
description - Team Size: 5
Environment: Java, Mysql, Shell script.
Webserver: Jenkins.
Description: OR-Formatter is an application which takes the input file as Geneva Modified File GMF from Geneva server and reads the data to generate Bill backup and Bill Invoices for Client customers of BT. These invoices would be sent across to all the clients after billing.
Contribution:
â¢	Played the role of Java developer involved in applying change request to current modules.
â¢	Worked on requirement analysis and development for the user stories and also preformed dev unit testing for the user stories.
â¢ Handled E2E issues and fixing bugs.
â¢	Prepare required program level and user-level documentation.
company - Tech Mahindra
description - Team Size: 5
Environment: Java EJB, Mysql, Shell script.
Webserver: Weblogic12c Server, Jenkins.
Description: STAA is an encapsulation middleware layer, acting as an interface between client's operational support systems and Legacy systems. It transforms the legacy data into various formats such as TLV. Input is in form xml/http to STAA where validations are done and the response is sent to the back end systems where back end systems are CSS and COSMOSS Databases. The business methods deployed as EJBs on WebLogic Server shared across various market facing units of client.
Contribution:
â¢	Played the role of Java developer involved in creating services using Java/J2EE.
â¢	Worked on requirement analysis and development for the user stories and also preformed dev unit testing for the user stories.
â¢ Handled E2E issues and fixing bugs.
â¢	Worked in Migration from java 1.6 to java 1.8.",Applicant 4,['information technology'],['BS-LEVEL'],"java,swift,html,shell,mysql,database,apache subversion,jenkins,software,android studio,eclipse,oracle,xcode,operating system,operations research,server,testing,documentation,middleware,xml,http,backend,css,business"
4,Java Developer,"Education Details 
January 2013 Master of Engineering Information Technology Pune, Maharashtra M.I.T
January 2005 Bachelor of Engineering Information Technology Pusad, Maharashtra Amravati University
January 2001   Pusad, Maharashtra P. N. Junior College
January 1999 S.S.C  Pusad, Maharashtra K.D. High-School
Java Developer 

Java Developer - Maxgen Technologies
Skill Details 
Company Details 
company - Maxgen Technologies
description - Currently working in Infrasoft Technologies, Andheri as a Java Developer.
company - MIS Generation of Tata Sky and Tata Power
description - COURSES DONE: Android -Mobile App Development, Technologies in Java-Core Java,
Advance Java, JSF, Hibernate, Spring at NIIT in 2015-16.

ANDROID PROJECT: Location Detector of Computing and Mobile Devices. (Android)

ME PROJECT: Data Deduplication. My projects works to reduce redundant data from the system and free up the memory. It stores unique copy of data and for more location with same data with the help of pointers can access the data. (Java)

SUBJECTS TAUGHT:
C language, Core Java, Object Oriented Programming (OOT/C++), Database, PPS (Programming and problem solving), AD (Advance Database), IAS (Information Assurance and security), Android

PROGRAMMING SKILL: C, C++, Java, Android.
DATABASE HANDLED:
MS Access, SQL, Oracle

NATIONAL CONFERENCE: 1. paper presented on ""A secure cipher index over encrypted character data in database."" On dated 28-29 April 2011 at Pimpri chinchwad college of engineering, Pune.",Applicant 5,"['information technology', 'programming']","['MS-LEVEL', 'BS-LEVEL']","engineering,java,android,mobile development,hibernate,spring,c,object oriented programming,cpp,database,security,mobile station,sql,oracle"
5,Java Developer,"Education Details 
 BE IT   pjlce
Java Developer 

Java Developer
Skill Details 
c++- Exprience - Less than 1 year months
c- Exprience - Less than 1 year months
JAVA- Exprience - Less than 1 year months
DS- Exprience - Less than 1 year months
Jdbc- Exprience - 24 months
Hibernate- Exprience - Less than 1 year months
Java J2Ee- Exprience - Less than 1 year months
Javascript- Exprience - 6 months
JQuery- Exprience - 6 months
Ajax- Exprience - 6 monthsCompany Details 
company - Almighty tech pvt ltd nagpur
description - 1. As a Java Developer.
â ORGANISATION: Almighty tech pvt ltd Nagpur
â DESIGNATION.: Java Developer.
â DURATION.: From 1st jan 2018
â Notice Period: 15 days
JOB RESPONSIBILITIES
â Resolve Bugs
â Develop project as per user requirement.

KNOWLEDGE ABOUT:-
â Programming language C, C++, DS, Java(Swing, JDBC, J2EE) java script,jquery,Ajax
â Ms office, Excel.",Applicant 6,['programming'],"['BS-LEVEL', 'MS-LEVEL']","java,less,programming languages,c,cpp,data science,jquery,ajax,mobile station"
6,Java Developer,"TECHNICALSKILLS SpringMVC, Hibernate, JDBC, Java, J2EE, AzureWeb SunTechnologies Services, JSP, Struts, Servlet, RestApi. Scripting JavaScript, AJAX, HTML, JSON. OpenSourceTechnologies PHP. Database MsSQL, MySQL, Oracle. WebServers ApacheTomcatServer. Internettechnologiesand OnesignalWebPushNotifications, AzurewebServices, frameworks IONIC, HTML, JSON OperatingSystem WindowsServer2012R2, WinXP/7/8.1/10, Linux, Mac OS Education Details 
August 2013 to July 2016 BE Computer Engineering Nashik, Maharashtra Late G.N. Sapkal COE Nashik
July 2009 to June 2013 Diploma Computer technology Nashik, Maharashtra K K Wagh Polytechnic  Nashik
Java developer 

Java Developer
Skill Details 
AJAX- Exprience - 12 months
DATABASE- Exprience - 24 months
HTML- Exprience - 24 months
J2EE- Exprience - 6 months
JAVA- Exprience - 24 months
Spring MVC- Exprience - 12 months
Ionic 3- Exprience - 6 months
Angular JS- Exprience - 6 months
Spring- Exprience - Less than 1 year months
Java- Exprience - Less than 1 year monthsCompany Details 
company - Replete business solutions pvt ltd
description - Working as Java developer in spring MVC, MySQL, MsSql, Java, J2EE, Ajax, Javascript, ionic 3 framework, angular js etc. Technologies.",Applicant 7,['computer engineering'],['BS-LEVEL'],"hibernate,java,javascript,ajax,html,php,database,mysql,oracle,frameworks,ionic,linux,operating system,computer engineering,spring,angular,less,business,mvc"
7,Java Developer,"TECHNICALSKILLS SpringMVC, Hibernate, JDBC, Java, J2EE, AzureWeb SunTechnologies Services, JSP, Struts, Servlet, RestApi. Scripting JavaScript, AJAX, HTML, JSON. OpenSourceTechnologies PHP. Database MsSQL, MySQL, Oracle. WebServers ApacheTomcatServer. Internettechnologiesand OnesignalWebPushNotifications, AzurewebServices, frameworks IONIC, HTML, JSON OperatingSystem WindowsServer2012R2, WinXP/7/8.1/10, Linux, Mac OS Education Details 
August 2013 to July 2016 BE Computer Engineering Nashik, Maharashtra Late G.N. Sapkal COE Nashik
July 2009 to June 2013 Diploma Computer technology Nashik, Maharashtra K K Wagh Polytechnic  Nashik
Java developer 

Java Developer
Skill Details 
AJAX- Exprience - 12 months
DATABASE- Exprience - 24 months
HTML- Exprience - 24 months
J2EE- Exprience - 6 months
JAVA- Exprience - 24 months
Spring MVC- Exprience - 12 months
Ionic 3- Exprience - 6 months
Angular JS- Exprience - 6 months
Spring- Exprience - Less than 1 year months
Java- Exprience - Less than 1 year monthsCompany Details 
company - Replete business solutions pvt ltd
description - Working as Java developer in spring MVC, MySQL, MsSql, Java, J2EE, Ajax, Javascript, ionic 3 framework, angular js etc. Technologies.",Applicant 8,['computer engineering'],['BS-LEVEL'],"hibernate,java,javascript,ajax,html,php,database,mysql,oracle,frameworks,ionic,linux,operating system,computer engineering,spring,angular,less,business,mvc"
8,Java Developer,"Operating Systems Windows XP, 7, 10. Tools/Packages Visual Basic 6.0, UML, Packet Tracer Web technologies Core java, Advance java, JSP, Hibernate, Spring Languages known C, C++ Databases SQL AREAS OF INTEREST â¢ Software Development â¢ Programming Academic Projects Details Diploma: Title: Banking Software Description: We used GSM technology for transaction of message for a security purpose. Environment/OS: Windows XP Technologies used frontend: visual basic 6.0 Backend: oracle 9i BE: Title: Single Sign On Description: We have created ""single sign on"" mechanism for network security. Environment/OS: Windows 7 Technologies Used Frontend: java Backend: Oracle 10g ME: Title: Text Based Graphical Password To Overcome Shoulder Surfing Attacks Description: I have created a most secure password system using Random Printing Algo. Environment/OS: Windows 10 Technologies used: Frontend: Java Backend: MySQL Company: Title: Agriculture Management System Description: Created Web application for Agriculture system and Farming. Environment/OS: Windows 10 Technologies used: Frontend: Hibernate Backend: MySQL Education Details 
June 2015 to February 2018 ME(computers) computer Pune, Maharashtra Savitribai Phule Pune University
June 2007 S.S.C.  Solapur, Maharashtra Maharashtra Secondary Board
Java Developer 

Java Developer
Skill Details 
JAVA- Exprience - 6 months
DATABASES- Exprience - 6 months
Hibernate- Exprience - Less than 1 year months
Jsp- Exprience - Less than 1 year months
Servlet- Exprience - Less than 1 year monthsCompany Details 
company - Maxgen Technologies Pvt.Ltd.
description - 1. Working as a java developer over Hibernate technology. Developing web application using JSP servlet and hibernate.
company - Prakshal IT academy
description - I was working as a trainer. I have taught A+, N+ CCNA(routing and switching).",Applicant 9,"['software development', 'programming', 'network security']",['BS-LEVEL'],"operating system,windows,visual basic,unified modeling language,java,hibernate,spring,c,cpp,database,sql,software,gsm,security,frontend,backend,oracle,network security,mysql,web development,less"
9,Java Developer,"Computer Skills: Languages And Script: JSP, Servlet, HTML, CSS, Java Script, Jquery, Ajax, Spring, Hibernate Operating System: Microsoft WindowsÂ® 2003/XP/Vista/7/8 Databases: My SQL Concepts: OOPS, Core java, Advance java Development Tool: Eclipse, Net beans IDE Web Server: Apache Tomcat 7.0Education Details 
January 2007 H.S.C  Amravati, Maharashtra VidyaBharati college
January 2005 S.S.C  Amravati, Maharashtra Holy Cross English School
Java Developer 

Java Developer - Kunal IT Services Pvt Ltd
Skill Details 
ECLIPSE- Exprience - Less than 1 year months
JAVA- Exprience - 14 months
HIBERNATE- Exprience - Less than 1 year months
SPRING- Exprience - Less than 1 year months
jQuery- Exprience - Less than 1 year monthsCompany Details 
company - Kunal IT Services Pvt Ltd
description - Currently Working As Java Developer In Winsol Solution Pvt Ltd From 1 July 2017 To Till Date.

Experience Of  2 Yrs As A Java Developer In Kunal IT Services Pvt Ltd.",Applicant 10,[],['BS-LEVEL'],"html,css,java,jquery,ajax,spring,hibernate,operating system,database,sql,eclipse,integrated development environment,web server,apache tomcat,less"
